index,lower,upper
1385,997865419/200000000000000000000000000000,31931693429/6400000000000000000000000000000
1386,7737314621/1600000000000000000000000000000,6189851701/1280000000000000000000000000000
1387,5999409981/1280000000000000000000000000000,14998524963/3200000000000000000000000000000
1388,3634267213/800000000000000000000000000000,1162965509/256000000000000000000000000000
1389,17612262829/4000000000000000000000000000000,140898102737/32000000000000000000000000000000
1390,27312624749/6400000000000000000000000000000,2731262477/640000000000000000000000000000
1391,132361518137/32000000000000000000000000000000,66180759121/16000000000000000000000000000000
1392,16036147793/4000000000000000000000000000000,128289182449/32000000000000000000000000000000
1393,124342139151/32000000000000000000000000000000,15542767407/4000000000000000000000000000000
1394,120516533711/32000000000000000000000000000000,15064566727/4000000000000000000000000000000
1395,7300539361/2000000000000000000000000000000,116808629881/32000000000000000000000000000000
1396,28303701513/8000000000000000000000000000000,113214806157/32000000000000000000000000000000
1397,5486577633/1600000000000000000000000000000,21946310553/6400000000000000000000000000000
1398,26588866927/8000000000000000000000000000000,106355467813/32000000000000000000000000000000
1399,10308325397/3200000000000000000000000000000,4123330163/1280000000000000000000000000000
1400,19982343133/6400000000000000000000000000000,9991171577/3200000000000000000000000000000
1401,12104719417/4000000000000000000000000000000,96837755441/32000000000000000000000000000000
1402,93858370823/32000000000000000000000000000000,5866148183/2000000000000000000000000000000
1403,18194130467/6400000000000000000000000000000,2274266311/800000000000000000000000000000
1404,17634355921/6400000000000000000000000000000,8817177971/3200000000000000000000000000000
1405,667648587/250000000000000000000000000000,85459019241/32000000000000000000000000000000
1406,20707430383/8000000000000000000000000000000,82829721637/32000000000000000000000000000000
1407,80281318911/32000000000000000000000000000000,10035164877/4000000000000000000000000000000
1408,19452830599/8000000000000000000000000000000,77811322501/32000000000000000000000000000000
1409,18854329921/8000000000000000000000000000000,75417319789/32000000000000000000000000000000
1410,18274243173/8000000000000000000000000000000,73096972797/32000000000000000000000000000000
1411,8856001909/4000000000000000000000000000000,70848015377/32000000000000000000000000000000
1412,34334125499/16000000000000000000000000000000,68668251103/32000000000000000000000000000000
1413,3327777551/1600000000000000000000000000000,532444409/256000000000000000000000000000
1414,64507851987/32000000000000000000000000000000,16126963023/8000000000000000000000000000000
1415,6252315403/3200000000000000000000000000000,12504630827/6400000000000000000000000000000
1416,6059951881/3200000000000000000000000000000,12119903783/6400000000000000000000000000000
1417,58735067623/32000000000000000000000000000000,3670941733/2000000000000000000000000000000
1418,56927979569/32000000000000000000000000000000,28463989837/16000000000000000000000000000000
1419,55176489769/32000000000000000000000000000000,27588244937/16000000000000000000000000000000
1420,10695777529/6400000000000000000000000000000,213915551/128000000000000000000000000000
1421,3239594703/2000000000000000000000000000000,51833515353/32000000000000000000000000000000
1422,25119382819/16000000000000000000000000000000,50238765743/32000000000000000000000000000000
1423,9738616263/6400000000000000000000000000000,2434654071/1600000000000000000000000000000
1424,47194952699/32000000000000000000000000000000,11798738201/8000000000000000000000000000000
1425,9148583331/6400000000000000000000000000000,1143572919/800000000000000000000000000000
1426,44335555063/32000000000000000000000000000000,1385486099/1000000000000000000000000000000
1427,10742873359/8000000000000000000000000000000,42971493541/32000000000000000000000000000000
1428,41649399573/32000000000000000000000000000000,20824699839/16000000000000000000000000000000
1429,20183991131/16000000000000000000000000000000,40367982367/32000000000000000000000000000000
1430,39125990017/32000000000000000000000000000000,19562995061/16000000000000000000000000000000
1431,592534529/500000000000000000000000000000,37922209961/32000000000000000000000000000000
1432,36755466117/32000000000000000000000000000000,18377733111/16000000000000000000000000000000
1433,35624619309/32000000000000000000000000000000,17812309707/16000000000000000000000000000000
1434,34528564999/32000000000000000000000000000000,2158035319/2000000000000000000000000000000
1435,6693246547/6400000000000000000000000000000,836655821/800000000000000000000000000000
1436,32436584999/32000000000000000000000000000000,2027286569/2000000000000000000000000000000
1437,31438616193/32000000000000000000000000000000,15719308149/16000000000000000000000000000000
1438,1523567583/1600000000000000000000000000000,6094270353/6400000000000000000000000000000
1439,3691730841/4000000000000000000000000000000,29533846833/32000000000000000000000000000000
1440,2862518579/3200000000000000000000000000000,5725037179/6400000000000000000000000000000
1441,2774448141/3200000000000000000000000000000,5548896303/6400000000000000000000000000000
1442,5378174691/6400000000000000000000000000000,672271839/800000000000000000000000000000
1443,407242629/500000000000000000000000000000,26063528361/32000000000000000000000000000000
1444,25261637793/32000000000000000000000000000000,12630818949/16000000000000000000000000000000
1445,12242209453/16000000000000000000000000000000,24484419011/32000000000000000000000000000000
1446,2373111253/3200000000000000000000000000000,4746222527/6400000000000000000000000000000
1447,4600196591/6400000000000000000000000000000,1150049153/1600000000000000000000000000000
1448,4458663421/6400000000000000000000000000000,2229331721/3200000000000000000000000000000
1449,5401855961/8000000000000000000000000000000,21607423949/32000000000000000000000000000000
1450,20942633301/32000000000000000000000000000000,10471316703/16000000000000000000000000000000
1451,5074574053/8000000000000000000000000000000,20298296317/32000000000000000000000000000000
1452,19673783291/32000000000000000000000000000000,4918445849/8000000000000000000000000000000
1453,19068484613/32000000000000000000000000000000,9534242359/16000000000000000000000000000000
1454,9240904509/16000000000000000000000000000000,18481809123/32000000000000000000000000000000
1455,17913183533/32000000000000000000000000000000,8956591819/16000000000000000000000000000000
1456,3472410563/6400000000000000000000000000000,434051323/800000000000000000000000000000
1457,16827878607/32000000000000000000000000000000,2103484839/4000000000000000000000000000000
1458,16310139211/32000000000000000000000000000000,4077534829/8000000000000000000000000000000
1459,7904164491/16000000000000000000000000000000,15808329087/32000000000000000000000000000000
1460,1532195783/3200000000000000000000000000000,3064391587/6400000000000000000000000000000
1461,7425275373/16000000000000000000000000000000,14850550851/32000000000000000000000000000000
1462,14393647333/32000000000000000000000000000000,7196823719/16000000000000000000000000000000
1463,174385017/400000000000000000000000000000,2790160293/6400000000000000000000000000000
1464,540863213/1280000000000000000000000000000,1352158043/3200000000000000000000000000000
1465,13105565033/32000000000000000000000000000000,6552782569/16000000000000000000000000000000
1466,6351174593/16000000000000000000000000000000,12702349291/32000000000000000000000000000000
1467,6155769493/16000000000000000000000000000000,12311539091/32000000000000000000000000000000
1468,745797047/2000000000000000000000000000000,11932752857/32000000000000000000000000000000
1469,5782810273/16000000000000000000000000000000,11565620651/32000000000000000000000000000000
1470,1120978381/3200000000000000000000000000000,2241956783/6400000000000000000000000000000
1471,10864895019/32000000000000000000000000000000,2716223781/8000000000000000000000000000000
1472,10530617341/32000000000000000000000000000000,5265308723/16000000000000000000000000000000
1473,5103312153/16000000000000000000000000000000,10206624411/32000000000000000000000000000000
1474,9892599489/32000000000000000000000000000000,4946299797/16000000000000000000000000000000
1475,47941181/160000000000000000000000000000,1917647261/6400000000000000000000000000000
1476,1858647437/6400000000000000000000000000000,929323729/3200000000000000000000000000000
1477,1801462867/6400000000000000000000000000000,225182861/800000000000000000000000000000
1478,4365094203/16000000000000000000000000000000,8730188511/32000000000000000000000000000000
1479,4230794373/16000000000000000000000000000000,8461588851/32000000000000000000000000000000
1480,8201253029/32000000000000000000000000000000,4100626567/16000000000000000000000000000000
1481,7948927/32000000000000000000000000000,1589785421/6400000000000000000000000000000
1482,3852182113/16000000000000000000000000000000,7704364331/32000000000000000000000000000000
1483,3733662929/16000000000000000000000000000000,7467325963/32000000000000000000000000000000
1484,3618790197/16000000000000000000000000000000,7237580499/32000000000000000000000000000000
1485,1402980691/6400000000000000000000000000000,175372589/800000000000000000000000000000
1486,1359815513/6400000000000000000000000000000,679907767/3200000000000000000000000000000
1487,6589891939/32000000000000000000000000000000,1647473011/8000000000000000000000000000000
1488,3193571139/16000000000000000000000000000000,6387142383/32000000000000000000000000000000
1489,6190630569/32000000000000000000000000000000,3095315337/16000000000000000000000000000000
1490,6000164889/32000000000000000000000000000000,3000082497/16000000000000000000000000000000
1491,2907779611/16000000000000000000000000000000,5815559327/32000000000000000000000000000000
1492,225465331/1280000000000000000000000000000,281831669/1600000000000000000000000000000
1493,54632123/320000000000000000000000000000,1092642481/6400000000000000000000000000000
1494,330945433/2000000000000000000000000000000,5295127033/32000000000000000000000000000000
1495,5132212999/32000000000000000000000000000000,320763319/2000000000000000000000000000000
1496,994862281/6400000000000000000000000000000,497431151/3200000000000000000000000000000
1497,1205316983/8000000000000000000000000000000,4821268037/32000000000000000000000000000000
1498,584116639/4000000000000000000000000000000,146029163/1000000000000000000000000000000
1499,2264581037/16000000000000000000000000000000,2264581089/16000000000000000000000000000000
1500,2194907203/16000000000000000000000000000000,438981451/3200000000000000000000000000000
1501,850950803/6400000000000000000000000000000,4254754119/32000000000000000000000000000000
1502,824769799/6400000000000000000000000000000,4123849099/32000000000000000000000000000000
1503,3996971499/32000000000000000000000000000000,3996971603/32000000000000000000000000000000
1504,1936998807/16000000000000000000000000000000,1936998859/16000000000000000000000000000000
1505,3754807237/32000000000000000000000000000000,3754807341/32000000000000000000000000000000
1506,3639283963/32000000000000000000000000000000,3639284067/32000000000000000000000000000000
1507,1763657483/16000000000000000000000000000000,352731507/3200000000000000000000000000000
1508,3418790893/32000000000000000000000000000000,3418790997/32000000000000000000000000000000
1509,662721151/6400000000000000000000000000000,3313605859/32000000000000000000000000000000
1510,3211656823/32000000000000000000000000000000,3211656927/32000000000000000000000000000000
1511,311284453/3200000000000000000000000000000,1556422317/16000000000000000000000000000000
1512,754268093/8000000000000000000000000000000,754268119/8000000000000000000000000000000
1513,2924246813/32000000000000000000000000000000,2924246917/32000000000000000000000000000000
1514,708569299/8000000000000000000000000000000,28342773/320000000000000000000000000000
1515,1373537827/16000000000000000000000000000000,1373537879/16000000000000000000000000000000
1516,2662557021/32000000000000000000000000000000,21300457/256000000000000000000000000000
1517,2580638753/32000000000000000000000000000000,2580638857/32000000000000000000000000000000
1518,500248169/6400000000000000000000000000000,2501240949/32000000000000000000000000000000
1519,1212142877/16000000000000000000000000000000,1212142929/16000000000000000000000000000000
1520,1174849161/16000000000000000000000000000000,1174849213/16000000000000000000000000000000
1521,284675713/4000000000000000000000000000000,142337863/2000000000000000000000000000000
1522,137958581/2000000000000000000000000000000,11036687/160000000000000000000000000000
1523,1069712333/16000000000000000000000000000000,213942477/3200000000000000000000000000000
1524,129600093/2000000000000000000000000000000,259200199/4000000000000000000000000000000
1525,2009803477/32000000000000000000000000000000,2009803581/32000000000000000000000000000000
1526,486992081/8000000000000000000000000000000,486992107/8000000000000000000000000000000
1527,1888035639/32000000000000000000000000000000,1888035743/32000000000000000000000000000000
1528,1829946889/32000000000000000000000000000000,1829946993/32000000000000000000000000000000
1529,886822671/16000000000000000000000000000000,886822723/16000000000000000000000000000000
1530,1719076011/32000000000000000000000000000000,343815223/6400000000000000000000000000000
1531,833092801/16000000000000000000000000000000,833092853/16000000000000000000000000000000
1532,80746123/1600000000000000000000000000000,403730641/8000000000000000000000000000000
1533,1565236519/32000000000000000000000000000000,1565236623/32000000000000000000000000000000
1534,758539627/16000000000000000000000000000000,758539679/16000000000000000000000000000000
1535,91900227/2000000000000000000000000000000,183800467/4000000000000000000000000000000
1536,356291017/8000000000000000000000000000000,356291043/8000000000000000000000000000000
1537,1381316379/32000000000000000000000000000000,1381316483/32000000000000000000000000000000
1538,1338817741/32000000000000000000000000000000,267763569/6400000000000000000000000000000
1539,1297626649/32000000000000000000000000000000,1297626753/32000000000000000000000000000000
1540,628851437/16000000000000000000000000000000,628851489/16000000000000000000000000000000
1541,19046991/500000000000000000000000000000,152375941/4000000000000000000000000000000
1542,295375627/8000000000000000000000000000000,295375653/8000000000000000000000000000000
1543,1145151497/32000000000000000000000000000000,1145151601/32000000000000000000000000000000
1544,1109918889/32000000000000000000000000000000,1109918993/32000000000000000000000000000000
1545,537885137/16000000000000000000000000000000,537885189/16000000000000000000000000000000
1546,521336151/16000000000000000000000000000000,521336203/16000000000000000000000000000000
1547,1010592647/32000000000000000000000000000000,1010592751/32000000000000000000000000000000
1548,979499979/32000000000000000000000000000000,244875021/8000000000000000000000000000000
1549,237340983/8000000000000000000000000000000,949364037/32000000000000000000000000000000
1550,460077537/16000000000000000000000000000000,920155179/32000000000000000000000000000000
1551,445922439/16000000000000000000000000000000,891844983/32000000000000000000000000000000
1552,172881139/6400000000000000000000000000000,4322029/160000000000000000000000000000
1553,837810727/32000000000000000000000000000000,52363177/2000000000000000000000000000000
1554,406017/16000000000000000000000000000,162406821/6400000000000000000000000000000
1555,39352517/1600000000000000000000000000000,157410089/6400000000000000000000000000000
1556,381417673/16000000000000000000000000000000,762835451/32000000000000000000000000000000
1557,739365369/32000000000000000000000000000000,369682737/16000000000000000000000000000000
1558,44788593/2000000000000000000000000000000,716617593/32000000000000000000000000000000
1559,138913897/6400000000000000000000000000000,69456959/3200000000000000000000000000000
1560,168299957/8000000000000000000000000000000,673199933/32000000000000000000000000000000
1561,326243823/16000000000000000000000000000000,652487751/32000000000000000000000000000000
1562,632412711/32000000000000000000000000000000,39525801/2000000000000000000000000000000
1563,612955417/32000000000000000000000000000000,306477761/16000000000000000000000000000000
1564,594096761/32000000000000000000000000000000,297048433/16000000000000000000000000000000
1565,23032733/1280000000000000000000000000000,57581843/3200000000000000000000000000000
1566,558102257/32000000000000000000000000000000,279051181/16000000000000000000000000000000
1567,108186251/6400000000000000000000000000000,3380821/200000000000000000000000000000
1568,524288549/32000000000000000000000000000000,262144327/16000000000000000000000000000000
1569,254078943/16000000000000000000000000000000,508157991/32000000000000000000000000000000
1570,492523511/32000000000000000000000000000000,15391363/1000000000000000000000000000000
1571,95474031/6400000000000000000000000000000,23868513/1600000000000000000000000000000
1572,462683019/32000000000000000000000000000000,115670781/8000000000000000000000000000000
1573,448447759/32000000000000000000000000000000,56055983/4000000000000000000000000000000
1574,434650471/32000000000000000000000000000000,27165661/2000000000000000000000000000000
1575,421277681/32000000000000000000000000000000,210638893/16000000000000000000000000000000
1576,408316329/32000000000000000000000000000000,204158217/16000000000000000000000000000000
1577,98938439/8000000000000000000000000000000,395753861/32000000000000000000000000000000
1578,95894423/8000000000000000000000000000000,383577797/32000000000000000000000000000000
1579,371776247/32000000000000000000000000000000,11618011/1000000000000000000000000000000
1580,180168947/16000000000000000000000000000000,360337999/32000000000000000000000000000000
1581,174625731/16000000000000000000000000000000,349251567/32000000000000000000000000000000
1582,84626531/8000000000000000000000000000000,338506229/32000000000000000000000000000000
1583,65618277/6400000000000000000000000000000,32809149/3200000000000000000000000000000
1584,158998537/16000000000000000000000000000000,317997179/32000000000000000000000000000000
1585,77053333/8000000000000000000000000000000,308213437/32000000000000000000000000000000
1586,74682651/8000000000000000000000000000000,298730709/32000000000000000000000000000000
1587,289539629/32000000000000000000000000000000,144769867/16000000000000000000000000000000
1588,280631431/32000000000000000000000000000000,17539471/2000000000000000000000000000000
1589,271997309/32000000000000000000000000000000,135998707/16000000000000000000000000000000
1590,263628831/32000000000000000000000000000000,32953617/4000000000000000000000000000000
1591,1996233/250000000000000000000000000000,255517929/32000000000000000000000000000000
1592,247656367/32000000000000000000000000000000,30957059/4000000000000000000000000000000
1593,240036781/32000000000000000000000000000000,120018443/16000000000000000000000000000000
1594,1861213/256000000000000000000000000000,23265173/3200000000000000000000000000000
1595,225493687/32000000000000000000000000000000,225493791/32000000000000000000000000000000
1596,8742239/1280000000000000000000000000000,218556079/32000000000000000000000000000000
1597,105915857/16000000000000000000000000000000,105915909/16000000000000000000000000000000
1598,205314337/32000000000000000000000000000000,205314441/32000000000000000000000000000000
1599,99498739/16000000000000000000000000000000,99498791/16000000000000000000000000000000
1600,192874969/32000000000000000000000000000000,192875073/32000000000000000000000000000000
1601,18694083/3200000000000000000000000000000,93470467/16000000000000000000000000000000
1602,36237853/6400000000000000000000000000000,181189369/32000000000000000000000000000000
1603,175614657/32000000000000000000000000000000,175614761/32000000000000000000000000000000
1604,85105781/16000000000000000000000000000000,85105833/16000000000000000000000000000000
1605,82487351/16000000000000000000000000000000,82487403/16000000000000000000000000000000
1606,39974741/8000000000000000000000000000000,39974767/8000000000000000000000000000000
1607,15497939/3200000000000000000000000000000,77489747/16000000000000000000000000000000
1608,6008447/1280000000000000000000000000000,150211279/32000000000000000000000000000000
1609,72794831/16000000000000000000000000000000,145589767/32000000000000000000000000000000
1610,141110339/32000000000000000000000000000000,141110443/32000000000000000000000000000000
1611,13676883/3200000000000000000000000000000,68384467/16000000000000000000000000000000
1612,26512179/6400000000000000000000000000000,132560999/32000000000000000000000000000000
1613,5139297/1280000000000000000000000000000,128482529/32000000000000000000000000000000
1614,31132359/8000000000000000000000000000000,6226477/1600000000000000000000000000000
1615,30174517/8000000000000000000000000000000,30174543/8000000000000000000000000000000
1616,58492289/16000000000000000000000000000000,58492341/16000000000000000000000000000000
1617,5669267/1600000000000000000000000000000,28346361/8000000000000000000000000000000
1618,109896839/32000000000000000000000000000000,109896943/32000000000000000000000000000000
1619,26628917/8000000000000000000000000000000,26628943/8000000000000000000000000000000
1620,4129541/1280000000000000000000000000000,103238629/32000000000000000000000000000000
1621,100062209/32000000000000000000000000000000,100062313/32000000000000000000000000000000
1622,48491809/16000000000000000000000000000000,48491861/16000000000000000000000000000000
1623,18799949/6400000000000000000000000000000,93999849/32000000000000000000000000000000
1624,22776919/8000000000000000000000000000000,4555389/1600000000000000000000000000000
1625,88304587/32000000000000000000000000000000,88304691/32000000000000000000000000000000
1626,4279387/1600000000000000000000000000000,21396961/8000000000000000000000000000000
1627,41477241/16000000000000000000000000000000,41477293/16000000000000000000000000000000
1628,251257/100000000000000000000000000000,10050293/4000000000000000000000000000000
1629,77928523/32000000000000000000000000000000,77928627/32000000000000000000000000000000
1630,37765457/16000000000000000000000000000000,37765509/16000000000000000000000000000000
1631,2287721/1000000000000000000000000000000,9150897/4000000000000000000000000000000
1632,70954727/32000000000000000000000000000000,70954831/32000000000000000000000000000000
1633,68771679/32000000000000000000000000000000,68771783/32000000000000000000000000000000
1634,16663949/8000000000000000000000000000000,666559/320000000000000000000000000000
1635,16151253/8000000000000000000000000000000,16151279/8000000000000000000000000000000
1636,15654331/8000000000000000000000000000000,15654357/8000000000000000000000000000000
1637,60690791/32000000000000000000000000000000,12138179/6400000000000000000000000000000
1638,58823531/32000000000000000000000000000000,11764727/6400000000000000000000000000000
1639,57013721/32000000000000000000000000000000,2280553/1280000000000000000000000000000
1640,55259593/32000000000000000000000000000000,55259697/32000000000000000000000000000000
1641,26779717/16000000000000000000000000000000,26779769/16000000000000000000000000000000
1642,51911583/32000000000000000000000000000000,51911687/32000000000000000000000000000000
1643,50314431/32000000000000000000000000000000,10062907/6400000000000000000000000000000
1644,24383209/16000000000000000000000000000000,24383261/16000000000000000000000000000000
1645,47266033/32000000000000000000000000000000,47266137/32000000000000000000000000000000
1646,4581181/3200000000000000000000000000000,22905957/16000000000000000000000000000000
1647,5550291/4000000000000000000000000000000,173447/125000000000000000000000000000
1648,43036211/32000000000000000000000000000000,10759079/8000000000000000000000000000000
1649,333697/256000000000000000000000000000,4171223/3200000000000000000000000000000
1650,40428777/32000000000000000000000000000000,20214441/16000000000000000000000000000000
1651,19592457/16000000000000000000000000000000,39185019/32000000000000000000000000000000
1652,949483/800000000000000000000000000000,1519177/1280000000000000000000000000000
1653,36810819/32000000000000000000000000000000,9202731/8000000000000000000000000000000
1654,35678269/32000000000000000000000000000000,17839187/16000000000000000000000000000000
1655,8645141/8000000000000000000000000000000,34580669/32000000000000000000000000000000
1656,33516631/32000000000000000000000000000000,523699/500000000000000000000000000000
1657,4060679/4000000000000000000000000000000,32485537/32000000000000000000000000000000
1658,787149/800000000000000000000000000000,6297213/6400000000000000000000000000000
1659,15258619/16000000000000000000000000000000,30517343/32000000000000000000000000000000
1660,29578321/32000000000000000000000000000000,14789213/16000000000000000000000000000000
1661,28668291/32000000000000000000000000000000,7167099/8000000000000000000000000000000
1662,1389313/1600000000000000000000000000000,5557273/6400000000000000000000000000000
1663,13465683/16000000000000000000000000000000,26931471/32000000000000000000000000000000
1664,13051387/16000000000000000000000000000000,26102879/32000000000000000000000000000000
1665,6324919/8000000000000000000000000000000,25299781/32000000000000000000000000000000
1666,12260643/16000000000000000000000000000000,24521391/32000000000000000000000000000000
1667,4753369/6400000000000000000000000000000,475339/640000000000000000000000000000
1668,719863/1000000000000000000000000000000,23035721/32000000000000000000000000000000
1669,5581721/8000000000000000000000000000000,22326989/32000000000000000000000000000000
1670,21639957/32000000000000000000000000000000,10820031/16000000000000000000000000000000
1671,4194833/6400000000000000000000000000000,2097427/3200000000000000000000000000000
1672,20328857/32000000000000000000000000000000,10164481/16000000000000000000000000000000
1673,19703403/32000000000000000000000000000000,4925877/8000000000000000000000000000000
1674,19097193/32000000000000000000000000000000,9548649/16000000000000000000000000000000
1675,9254817/16000000000000000000000000000000,18509739/32000000000000000000000000000000
1676,2242519/4000000000000000000000000000000,17940257/32000000000000000000000000000000
1677,17388191/32000000000000000000000000000000,2173537/4000000000000000000000000000000
1678,4213303/8000000000000000000000000000000,16853317/32000000000000000000000000000000
1679,16334693/32000000000000000000000000000000,8167399/16000000000000000000000000000000
1680,15832127/32000000000000000000000000000000,1979029/4000000000000000000000000000000
1681,15345023/32000000000000000000000000000000,1918141/4000000000000000000000000000000
1682,7436453/16000000000000000000000000000000,14873011/32000000000000000000000000000000
1683,7207657/16000000000000000000000000000000,14415419/32000000000000000000000000000000
1684,13971801/32000000000000000000000000000000,6985953/16000000000000000000000000000000
1685,13541933/32000000000000000000000000000000,6771019/16000000000000000000000000000000
1686,13125291/32000000000000000000000000000000,3281349/8000000000000000000000000000000
1687,3180367/8000000000000000000000000000000,12721573/32000000000000000000000000000000
1688,12330069/32000000000000000000000000000000,6165087/16000000000000000000000000000000
1689,1493839/4000000000000000000000000000000,11950817/32000000000000000000000000000000
1690,11583027/32000000000000000000000000000000,2895783/8000000000000000000000000000000
1691,5613327/16000000000000000000000000000000,11226759/32000000000000000000000000000000
1692,5440623/16000000000000000000000000000000,10881351/32000000000000000000000000000000
1693,2109293/6400000000000000000000000000000,1054657/3200000000000000000000000000000
1694,319437/1000000000000000000000000000000,10222089/32000000000000000000000000000000
1695,4953743/16000000000000000000000000000000,9907591/32000000000000000000000000000000
1696,1200333/4000000000000000000000000000000,9602769/32000000000000000000000000000000
1697,9307221/32000000000000000000000000000000,4653663/16000000000000000000000000000000
1698,9020867/32000000000000000000000000000000,2255243/8000000000000000000000000000000
1699,2185831/8000000000000000000000000000000,8743429/32000000000000000000000000000000
1700,105929/400000000000000000000000000000,338977/1280000000000000000000000000000
1701,1026699/4000000000000000000000000000000,8213697/32000000000000000000000000000000
1702,3980443/16000000000000000000000000000000,7960991/32000000000000000000000000000000
1703,1543191/6400000000000000000000000000000,385803/1600000000000000000000000000000
1704,46741/200000000000000000000000000000,1495733/6400000000000000000000000000000
1705,1812117/8000000000000000000000000000000,7248573/32000000000000000000000000000000
1706,439091/2000000000000000000000000000000,7025561/32000000000000000000000000000000
1707,1361861/6400000000000000000000000000000,680941/3200000000000000000000000000000
1708,1649951/8000000000000000000000000000000,6599909/32000000000000000000000000000000
1709,6396749/32000000000000000000000000000000,3198427/16000000000000000000000000000000
1710,6199941/32000000000000000000000000000000,3100023/16000000000000000000000000000000
1711,1502297/8000000000000000000000000000000,6009293/32000000000000000000000000000000
1712,364019/2000000000000000000000000000000,5824409/32000000000000000000000000000000
1713,5645109/32000000000000000000000000000000,5645213/32000000000000000000000000000000
1714,5471427/32000000000000000000000000000000,5471531/32000000000000000000000000000000
1715,331443/2000000000000000000000000000000,662899/4000000000000000000000000000000
1716,5139929/32000000000000000000000000000000,5140033/32000000000000000000000000000000
1717,498179/3200000000000000000000000000000,2490947/16000000000000000000000000000000
1718,1207129/8000000000000000000000000000000,241431/1600000000000000000000000000000
1719,2339979/16000000000000000000000000000000,2340031/16000000000000000000000000000000
1720,453597/3200000000000000000000000000000,2268037/16000000000000000000000000000000
1721,1099103/8000000000000000000000000000000,1099129/8000000000000000000000000000000
1722,1065287/8000000000000000000000000000000,1065313/8000000000000000000000000000000
1723,2065023/16000000000000000000000000000000,82603/640000000000000000000000000000
1724,4002977/32000000000000000000000000000000,4003081/32000000000000000000000000000000
1725,1939909/16000000000000000000000000000000,1939961/16000000000000000000000000000000
1726,58757/500000000000000000000000000000,470069/4000000000000000000000000000000
1727,3644751/32000000000000000000000000000000,728971/6400000000000000000000000000000
1728,3532613/32000000000000000000000000000000,3532717/32000000000000000000000000000000
1729,136957/1280000000000000000000000000000,3424029/32000000000000000000000000000000
1730,3318581/32000000000000000000000000000000,663737/6400000000000000000000000000000
1731,1608239/16000000000000000000000000000000,3216583/32000000000000000000000000000000
1732,3117517/32000000000000000000000000000000,1558811/16000000000000000000000000000000
1733,3021601/32000000000000000000000000000000,1510853/16000000000000000000000000000000
1734,732159/8000000000000000000000000000000,2928741/32000000000000000000000000000000
1735,2838531/32000000000000000000000000000000,709659/8000000000000000000000000000000
1736,1375599/16000000000000000000000000000000,2751303/32000000000000000000000000000000
1737,333319/4000000000000000000000000000000,2666657/32000000000000000000000000000000
1738,258451/3200000000000000000000000000000,516923/6400000000000000000000000000000
1739,78281/1000000000000000000000000000000,2505097/32000000000000000000000000000000
1740,2427921/32000000000000000000000000000000,1214013/16000000000000000000000000000000
1741,2353221/32000000000000000000000000000000,1176663/16000000000000000000000000000000
1742,114041/1600000000000000000000000000000,570231/8000000000000000000000000000000
1743,1105323/16000000000000000000000000000000,8843/128000000000000000000000000000
1744,2142631/32000000000000000000000000000000,428547/6400000000000000000000000000000
1745,2076709/32000000000000000000000000000000,2076813/32000000000000000000000000000000
1746,402563/6400000000000000000000000000000,2012919/32000000000000000000000000000000
1747,1950887/32000000000000000000000000000000,1950991/32000000000000000000000000000000
1748,118179/2000000000000000000000000000000,236371/4000000000000000000000000000000
1749,114543/2000000000000000000000000000000,229099/4000000000000000000000000000000
1750,888151/16000000000000000000000000000000,888203/16000000000000000000000000000000
1751,34433/640000000000000000000000000000,860877/16000000000000000000000000000000
1752,41717/800000000000000000000000000000,104299/2000000000000000000000000000000
1753,80867/1600000000000000000000000000000,404361/8000000000000000000000000000000
1754,1567579/32000000000000000000000000000000,1567683/32000000000000000000000000000000
1755,1519349/32000000000000000000000000000000,1519453/32000000000000000000000000000000
1756,1472603/32000000000000000000000000000000,1472707/32000000000000000000000000000000
1757,285459/6400000000000000000000000000000,1427399/32000000000000000000000000000000
1758,1383381/32000000000000000000000000000000,276697/6400000000000000000000000000000
1759,670409/16000000000000000000000000000000,670461/16000000000000000000000000000000
1760,259913/6400000000000000000000000000000,1299669/32000000000000000000000000000000
1761,1259581/32000000000000000000000000000000,251937/6400000000000000000000000000000
1762,1220827/32000000000000000000000000000000,1220931/32000000000000000000000000000000
1763,591633/16000000000000000000000000000000,118337/3200000000000000000000000000000
1764,57343/1600000000000000000000000000000,286741/8000000000000000000000000000000
1765,555787/16000000000000000000000000000000,555839/16000000000000000000000000000000
1766,538687/16000000000000000000000000000000,538739/16000000000000000000000000000000
1767,522113/16000000000000000000000000000000,104433/3200000000000000000000000000000
1768,506049/16000000000000000000000000000000,506101/16000000000000000000000000000000
1769,980959/32000000000000000000000000000000,981063/32000000000000000000000000000000
1770,475389/16000000000000000000000000000000,475441/16000000000000000000000000000000
1771,36861/1280000000000000000000000000000,921629/32000000000000000000000000000000
1772,223293/8000000000000000000000000000000,223319/8000000000000000000000000000000
1773,865691/32000000000000000000000000000000,216449/8000000000000000000000000000000
1774,52441/2000000000000000000000000000000,839161/32000000000000000000000000000000
1775,20331/800000000000000000000000000000,162669/6400000000000000000000000000000
1776,788219/32000000000000000000000000000000,197081/8000000000000000000000000000000
1777,11937/500000000000000000000000000000,764073/32000000000000000000000000000000
1778,740463/32000000000000000000000000000000,92571/4000000000000000000000000000000
1779,717681/32000000000000000000000000000000,358893/16000000000000000000000000000000
1780,1739/80000000000000000000000000000,139141/6400000000000000000000000000000
